45s: win 0.3821, lose 0.5590, tie 0.0589, total 60618
49o: win 0.3815, lose 0.5679, tie 0.0506, total 180804
38s: win 0.3804, lose 0.5650, tie 0.0545, total 60638
57o: win 0.3783, lose 0.5648, tie 0.0569, total 180538
39o: win 0.3748, lose 0.5737, tie 0.0515, total 180590
28s: win 0.3747, lose 0.5740, tie 0.0513, total 59854
56o: win 0.3719, lose 0.5699, tie 0.0582, total 181404
37s: win 0.3714, lose 0.5740, tie 0.0546, total 60336
36s: win 0.3696, lose 0.5731, tie 0.0573, total 60399
29o: win 0.3680, lose 0.5812, tie 0.0508, total 180828
35s: win 0.3666, lose 0.5751, tie 0.0583, total 60387
48o: win 0.3659, lose 0.5797, tie 0.0543, total 180921
34s: win 0.3583, lose 0.5820, tie 0.0597, total 60923
47o: win 0.3581, lose 0.5842, tie 0.0578, total 180848
27s: win 0.3540, lose 0.5907, tie 0.0554, total 60816
46o: win 0.3508, lose 0.5895, tie 0.0597, total 181810
45o: win 0.3502, lose 0.5882, tie 0.0617, total 181279
26s: win 0.3470, lose 0.5959, tie 0.0571, total 60391
38o: win 0.3470, lose 0.5984, tie 0.0546, total 180732
25s: win 0.3458, lose 0.5957, tie 0.0585, total 60619
28o: win 0.3405, lose 0.6058, tie 0.0537, total 180331
24s: win 0.3395, lose 0.6020, tie 0.0585, total 59889
37o: win 0.3383, lose 0.6039, tie 0.0577, total 181290
35o: win 0.3323, lose 0.6052, tie 0.0624, total 180868
36o: win 0.3316, lose 0.6076, tie 0.0608, total 180644
23s: win 0.3286, lose 0.6139, tie 0.0575, total 60230
34o: win 0.3215, lose 0.6162, tie 0.0622, total 181274
27o: win 0.3179, lose 0.6246, tie 0.0575, total 180707
25o: win 0.3118, lose 0.6266, tie 0.0615, total 181499
26o: win 0.3117, lose 0.6286, tie 0.0597, total 180880
24o: win 0.2999, lose 0.6377, tie 0.0624, total 181988
23o: win 0.2911, lose 0.6479, tie 0.0610, total 180915
